t_s,status,grams
28.431,D,14.7695
28.639,D,14.7692
28.639,D,14.7690
28.639,D,14.7688
28.639,D,14.7686
28.639,D,14.7685
28.846,D,14.7685
28.846,D,14.7684
28.846,D,14.7683
28.846,D,14.7682
28.846,D,14.7681
29.052,D,14.7681
29.053,D,14.7680
29.053,D,14.7680
29.053,D,14.7680
29.260,D,14.7680
29.260,D,14.7680
29.260,D,14.7680
29.260,D,14.7680
29.260,D,14.7680
29.465,D,14.7680
29.465,D,14.7680
29.465,D,14.7680
29.465,D,14.7680
29.465,D,14.7680
29.668,D,14.7680
29.668,D,14.7680
29.668,D,14.7680
29.668,D,14.7679
29.870,D,14.7679
29.870,D,14.7679
29.870,D,14.7679
29.870,D,14.7679
29.870,D,14.7679
30.073,D,14.7679
30.073,D,14.7679
30.073,D,14.7679
30.073,D,14.7679
30.073,D,14.7679
30.278,D,14.7679
30.278,D,14.7679
30.278,D,14.7679
30.278,D,14.7679
30.493,D,14.7679
30.493,D,14.7679
30.493,D,14.7679
30.493,D,14.7679
30.493,D,14.7679
30.698,D,14.7679
30.698,D,14.7988
30.698,D,14.8131
30.698,D,14.8134
30.698,D,14.8132
30.899,D,14.8126
30.899,D,14.8121
30.899,D,14.8117
30.899,D,14.8115
31.102,D,14.8113
31.103,D,14.8111
31.103,D,14.8109
31.103,D,14.8106
31.103,D,14.8104
31.305,D,14.8102
31.305,D,14.8101
31.305,D,14.8100
31.305,D,14.8099
31.305,D,14.8098
31.519,D,14.8096
31.519,D,14.8095
31.519,D,14.8095
31.519,D,14.8094
31.519,D,14.8094
31.727,D,14.8094
31.727,D,14.8094
31.727,D,14.8094
31.727,D,14.8094
31.727,D,14.8094
31.935,D,14.8094
31.935,D,14.8094
31.935,D,14.8094
31.935,D,14.8094
32.143,D,14.8094
32.143,D,14.8094
32.143,D,14.8094
32.143,D,14.8094
32.143,D,14.8094
32.351,D,14.8094
32.351,D,14.8094
32.351,D,14.8093
32.351,D,14.8093
32.352,D,14.8093
32.559,D,14.8093
32.559,D,14.8093
32.559,D,14.8093
32.559,D,14.8093
32.559,D,14.8093
32.766,D,14.8093
32.766,D,14.8093
32.766,D,14.8093
32.766,D,14.8093
32.974,D,14.8092
32.974,D,14.8092
32.974,D,14.8092
32.974,D,14.8092
32.974,D,14.8092
33.181,D,14.8092
33.181,D,14.8092
33.181,D,14.8093
33.181,D,14.8518
33.181,D,14.8550
33.388,D,14.8550
33.388,D,14.8545
33.388,D,14.8539
33.388,D,14.8533
33.388,D,14.8529
33.592,D,14.8527
33.592,D,14.8525
33.592,D,14.8523
33.592,D,14.8520
33.794,D,14.8518
33.794,D,14.8515
33.794,D,14.8514
33.794,D,14.8513
33.794,D,14.8512
33.995,D,14.8512
33.995,D,14.8510
33.995,D,14.8509
33.995,D,14.8508
34.199,D,14.8507
34.199,D,14.8507
34.199,D,14.8507
34.199,D,14.8507
34.199,D,14.8507
34.400,D,14.8507
34.400,D,14.8507
34.400,D,14.8507
34.400,D,14.8507
34.400,D,14.8507
34.603,D,14.8507
34.603,D,14.8507
34.603,D,14.8507
34.603,D,14.8507
34.806,D,14.8507
34.806,D,14.8506
34.806,D,14.8505
34.806,D,14.8505
34.806,D,14.8505
35.008,D,14.8505
35.008,D,14.8505
35.008,D,14.8505
35.008,D,14.8505
35.008,D,14.8505
35.211,D,14.8505
35.211,D,14.8505
35.211,D,14.8505
35.211,D,14.8505
35.424,D,14.8505
35.424,D,14.8505
35.424,D,14.8505
35.424,D,14.8504
35.424,D,14.8504
35.630,D,14.8504
35.630,D,14.8504
35.630,D,14.8504
35.630,D,14.8504
35.630,D,14.8504
35.837,D,14.8557
35.837,D,14.8958
35.837,D,14.8963
35.837,D,14.8961
35.837,D,14.8956
36.040,D,14.8950
36.040,D,14.8945
36.040,D,14.8941
36.040,D,14.8939
36.241,D,14.8937
36.241,D,14.8934
36.241,D,14.8931
36.241,D,14.8929
36.241,D,14.8927
36.443,D,14.8925
36.443,D,14.8924
36.443,D,14.8923
36.443,D,14.8923
36.443,D,14.8922
36.645,D,14.8920
36.645,D,14.8920
36.645,D,14.8919
36.645,D,14.8919
36.855,D,14.8918
36.855,D,14.8918
36.855,D,14.8919
36.855,D,14.8919
36.855,D,14.8919
37.061,D,14.8919
37.061,D,14.8919
37.061,D,14.8919
37.062,D,14.8919
37.062,D,14.8919
37.269,D,14.8919
37.269,D,14.8919
37.269,D,14.8919
37.269,D,14.8919
37.474,D,14.8919
37.474,D,14.8919
37.474,D,14.8918
37.474,D,14.8918
37.474,D,14.8918
37.690,D,14.8918
37.690,D,14.8918
37.690,D,14.8918
37.690,D,14.8918
37.690,D,14.8918
37.892,D,14.8918
37.892,D,14.8918
37.892,D,14.8918
37.892,D,14.8917
37.892,D,14.8917
38.094,D,14.8917
38.094,D,14.8917
38.094,D,14.8917
38.094,D,14.8917
38.295,D,14.8917
38.295,D,14.8917
38.295,D,14.8918
38.296,D,14.9112
38.296,D,14.9370
38.499,D,14.9373
38.499,D,14.9371
38.499,D,14.9365
38.499,D,14.9358
38.499,D,14.9354
38.699,D,14.9351
38.699,D,14.9349
38.700,D,14.9346
38.700,D,14.9344
38.902,D,14.9341
38.902,D,14.9339
38.902,D,14.9337
38.902,D,14.9336
38.902,D,14.9335
39.104,D,14.9335
39.104,D,14.9334
39.104,D,14.9333
39.104,D,14.9332
39.308,D,14.9331
39.308,D,14.9331
39.308,D,14.9330
39.308,D,14.9330
39.308,D,14.9330
39.518,D,14.9330
39.518,D,14.9330
39.518,D,14.9329
39.518,D,14.9329
39.518,D,14.9329
39.727,D,14.9329
39.727,D,14.9329
39.727,D,14.9329
39.727,D,14.9329
39.727,D,14.9329
39.936,D,14.9329
39.936,D,14.9328
39.936,D,14.9328
39.936,D,14.9328
40.145,D,14.9328
40.145,D,14.9328
40.145,D,14.9328
40.145,D,14.9328
40.145,D,14.9328
40.354,D,14.9328
40.354,D,14.9328
40.354,D,14.9328
40.354,D,14.9328
40.354,D,14.9328
40.563,D,14.9328
40.563,D,14.9328
40.563,D,14.9328
40.563,D,14.9328
40.563,D,14.9328
40.770,D,14.9328
40.770,D,14.9328
40.770,D,14.9328
40.770,D,14.9328
40.771,D,14.9328
40.981,D,14.9664
40.981,D,14.9778
40.981,D,14.9782
40.981,D,14.9780
41.189,D,14.9775
41.189,D,14.9770
41.189,D,14.9766
41.189,D,14.9764
41.189,D,14.9763
41.397,D,14.9761
41.397,D,14.9758
